time_since_start_of_packet_ms gap_ms max_gap_ms byte
26.838 0.016 2.546 44
26.852 0.014 2.546 D3
26.866 0.014 2.546 03
26.880 0.014 2.546 0B
26.895 0.015 2.546 8B
26.911 0.016 2.546 42
26.929 0.018 2.546 28
26.943 0.014 2.546 D3
26.959 0.015 2.546 03
26.973 0.014 2.546 0C
26.987 0.014 2.546 8B
27.000 0.014 2.546 42
27.015 0.015 2.546 0D
27.030 0.015 2.546 D3
27.046 0.016 2.546 FF
27.060 0.014 2.546 22
27.076 0.016 2.546 09
27.091 0.015 2.546 02
27.105 0.015 2.546 12
27.120 0.014 2.546 BA
27.134 0.014 2.546 03
27.150 0.016 2.546 0C
27.166 0.016 2.546 8B
27.180 0.014 2.546 42
27.195 0.015 2.546 02
27.211 0.016 2.546 D3
27.225 0.015 2.546 12
27.240 0.014 2.546 12
27.253 0.014 2.546 09
27.270 0.017 2.546 02
27.286 0.016 2.546 65
27.300 0.014 2.546 D0
27.315 0.015 2.546 03
27.331 0.015 2.546 0B
27.345 0.014 2.546 8B
27.359 0.014 2.546 42
27.373 0.014 2.546 19
27.388 0.015 2.546 D3
27.404 0.016 2.546 00
27.419 0.014 2.546 E0
27.433 0.014 2.546 09
27.448 0.015 2.546 0A
27.462 0.014 2.546 C3
27.476 0.014 2.546 0B
27.491 0.014 2.546 8B
27.505 0.014 2.546 42
27.521 0.016 2.546 01
27.538 0.017 2.546 D3
27.553 0.015 2.546 CB
27.567 0.014 2.546 03
27.582 0.015 2.546 C0
27.597 0.016 2.546 1A
27.611 0.014 2.546 52
27.626 0.014 2.546 41
27.640 0.014 2.546 83
27.654 0.014 2.546 0B
27.668 0.014 2.546 8B
27.684 0.016 2.546 42
27.700 0.016 2.546 01
27.714 0.014 2.546 D3
27.729 0.014 2.546 8B
27.744 0.015 2.546 03
27.758 0.014 2.546 C0
27.772 0.014 2.546 1A
27.786 0.014 2.546 52
27.801 0.016 2.546 41
27.817 0.016 2.546 43
27.834 0.016 2.546 0B
27.848 0.015 2.546 8B
27.864 0.016 2.546 42
27.878 0.015 2.546 01
27.893 0.014 2.546 D3
27.907 0.014 2.546 4B
27.921 0.014 2.546 03
27.936 0.015 2.546 C0
27.952 0.016 2.546 1A
27.966 0.014 2.546 52
27.981 0.014 2.546 41
27.996 0.015 2.546 03
28.010 0.014 2.546 0B
28.024 0.014 2.546 8B
28.038 0.014 2.546 42
28.053 0.015 2.546 01
28.069 0.016 2.546 D3
28.083 0.014 2.546 0B
28.098 0.015 2.546 03
28.113 0.016 2.546 C0
28.127 0.014 2.546 1A
28.141 0.014 2.546 52
29.333 1.191 2.546 41
29.394 0.061 2.546 C3
29.411 0.018 2.546 0A
29.427 0.015 2.546 8B
29.441 0.015 2.546 42
29.457 0.016 2.546 01
29.472 0.014 2.546 D3
29.486 0.014 2.546 CB
29.500 0.014 2.546 02
29.518 0.018 2.546 C0
29.532 0.014 2.546 1A
29.550 0.017 2.546 52
29.565 0.015 2.546 41
29.580 0.015 2.546 83
29.598 0.018 2.546 0A
29.612 0.014 2.546 8B
29.626 0.014 2.546 42
29.640 0.014 2.546 01
29.655 0.015 2.546 D3
29.670 0.015 2.546 8B
29.684 0.014 2.546 02
29.698 0.014 2.546 C0
29.713 0.015 2.546 1A
29.727 0.014 2.546 52
29.741 0.014 2.546 41
29.754 0.014 2.546 43
29.769 0.014 2.546 0A
29.783 0.014 2.546 8B
29.797 0.014 2.546 42
29.811 0.014 2.546 01
29.826 0.014 2.546 D3
29.839 0.014 2.546 4B
29.854 0.014 2.546 02
29.869 0.015 2.546 C0
29.883 0.014 2.546 1A
29.897 0.014 2.546 52
29.912 0.014 2.546 41
29.926 0.014 2.546 03
29.940 0.015 2.546 0A
29.955 0.015 2.546 8B
29.969 0.014 2.546 42
29.984 0.015 2.546 01
29.999 0.014 2.546 D3
30.013 0.014 2.546 0B
30.027 0.014 2.546 02
30.041 0.014 2.546 C0
30.055 0.014 2.546 1A
30.069 0.014 2.546 52
30.083 0.014 2.546 41
30.097 0.014 2.546 CD
30.112 0.015 2.546 D2
30.126 0.015 2.546 C3
30.142 0.016 2.546 09
30.159 0.017 2.546 8B
30.173 0.014 2.546 42
30.187 0.013 2.546 01
30.201 0.014 2.546 D3
30.215 0.014 2.546 CB
30.229 0.014 2.546 01
30.243 0.014 2.546 C0
30.258 0.014 2.546 1A
30.272 0.014 2.546 52
30.286 0.014 2.546 41
30.300 0.014 2.546 83
32.251 1.952 2.546 09
32.274 0.023 2.546 8B
32.290 0.015 2.546 42
32.305 0.015 2.546 01
32.319 0.015 2.546 D3
32.334 0.014 2.546 8B
32.348 0.014 2.546 01
32.362 0.014 2.546 C0
32.377 0.014 2.546 1A
32.391 0.014 2.546 52
32.405 0.014 2.546 41
32.420 0.015 2.546 43
32.435 0.015 2.546 09
32.449 0.014 2.546 8B
32.463 0.014 2.546 42
32.478 0.014 2.546 01
32.492 0.014 2.546 D3
32.506 0.014 2.546 4B
32.520 0.014 2.546 01
32.534 0.014 2.546 C0
32.549 0.014 2.546 1A
32.563 0.014 2.546 52
32.577 0.014 2.546 41
32.591 0.014 2.546 03
32.605 0.014 2.546 09
32.620 0.015 2.546 8B
32.634 0.014 2.546 42
32.648 0.014 2.546 01
32.662 0.014 2.546 D3
32.676 0.014 2.546 0B
32.691 0.015 2.546 01
32.705 0.014 2.546 C0
32.719 0.014 2.546 1A
32.733 0.014 2.546 52
32.747 0.014 2.546 41
32.761 0.014 2.546 C3
32.775 0.014 2.546 08
32.790 0.014 2.546 8B
32.805 0.015 2.546 42
32.819 0.014 2.546 01
32.833 0.014 2.546 D3
32.848 0.015 2.546 CB
32.861 0.014 2.546 00
32.875 0.014 2.546 C0
32.901 0.026 2.546 1A
32.916 0.015 2.546 52
32.962 0.047 2.546 41
32.993 0.031 2.546 83
33.065 0.072 2.546 08
33.084 0.018 2.546 8B
33.099 0.015 2.546 42
33.113 0.014 2.546 01
33.127 0.015 2.546 D3
33.142 0.015 2.546 8B
33.156 0.014 2.546 00
33.170 0.014 2.546 C0
33.185 0.014 2.546 1A
33.201 0.016 2.546 52
33.215 0.014 2.546 41
33.229 0.014 2.546 43
33.244 0.014 2.546 08
33.258 0.014 2.546 8B
33.273 0.015 2.546 42
33.288 0.015 2.546 01
34.990 1.702 2.546 D3
35.058 0.068 2.546 4B
35.078 0.020 2.546 00
35.096 0.018 2.546 C0
35.112 0.016 2.546 1A
35.126 0.015 2.546 52
35.141 0.015 2.546 41
35.155 0.014 2.546 41
35.170 0.015 2.546 1A
35.184 0.014 2.546 00
35.199 0.014 2.546 D2
35.213 0.014 2.546 01
35.228 0.015 2.546 46
35.246 0.018 2.546 52
35.261 0.015 2.546 41
35.275 0.014 2.546 10
35.290 0.015 2.546 46
35.305 0.015 2.546 70
35.320 0.015 2.546 47
35.334 0.014 2.546 5D
35.349 0.015 2.546 E0
35.363 0.014 2.546 CA
35.378 0.014 2.546 0F
35.392 0.014 2.546 00
35.406 0.014 2.546 D0
35.420 0.015 2.546 49
35.436 0.015 2.546 42
35.449 0.014 2.546 03
35.466 0.016 2.546 10
35.482 0.017 2.546 00
35.497 0.015 2.546 D3
35.511 0.014 2.546 40
35.525 0.014 2.546 42
35.540 0.015 2.546 53
35.555 0.015 2.546 40
35.570 0.015 2.546 00
35.584 0.015 2.546 22
35.599 0.015 2.546 9C
35.614 0.015 2.546 46
35.628 0.014 2.546 03
35.642 0.014 2.546 09
35.657 0.015 2.546 8B
35.672 0.015 2.546 42
35.686 0.014 2.546 2D
35.700 0.014 2.546 D3
35.721 0.021 2.546 03
35.736 0.014 2.546 0A
35.750 0.014 2.546 8B
35.764 0.014 2.546 42
35.778 0.014 2.546 12
35.793 0.015 2.546 D3
35.807 0.014 2.546 FC
35.821 0.014 2.546 22
35.835 0.014 2.546 89
35.849 0.014 2.546 01
35.863 0.014 2.546 12
35.877 0.014 2.546 BA
35.892 0.015 2.546 03
35.906 0.014 2.546 0A
35.921 0.015 2.546 8B
35.937 0.016 2.546 42
35.951 0.015 2.546 0C
35.966 0.015 2.546 D3
35.981 0.015 2.546 89
37.697 1.716 2.546 01
37.726 0.029 2.546 92
37.742 0.016 2.546 11
37.757 0.015 2.546 8B
37.771 0.014 2.546 42
37.785 0.014 2.546 08
37.800 0.014 2.546 D3
37.814 0.014 2.546 89
37.828 0.014 2.546 01
37.842 0.014 2.546 92
37.856 0.014 2.546 11
37.870 0.014 2.546 8B
37.885 0.015 2.546 42
37.900 0.015 2.546 04
37.914 0.014 2.546 D3
37.928 0.014 2.546 89
37.942 0.014 2.546 01
37.956 0.014 2.546 3A
37.970 0.014 2.546 D0
37.985 0.014 2.546 92
37.999 0.014 2.546 11
38.014 0.015 2.546 00
38.028 0.014 2.546 E0
38.042 0.014 2.546 89
38.056 0.014 2.546 09
38.070 0.014 2.546 C3
38.084 0.014 2.546 09
38.099 0.014 2.546 8B
38.113 0.014 2.546 42
38.128 0.015 2.546 01
38.142 0.014 2.546 D3
38.156 0.014 2.546 CB
38.170 0.015 2.546 01
38.184 0.014 2.546 C0
38.198 0.014 2.546 1A
38.212 0.014 2.546 52
38.226 0.014 2.546 41
38.241 0.015 2.546 83
38.256 0.015 2.546 09
38.270 0.014 2.546 8B
38.285 0.015 2.546 42
38.299 0.014 2.546 01
38.312 0.014 2.546 D3
38.326 0.014 2.546 8B
38.341 0.014 2.546 01
38.363 0.022 2.546 C0
38.378 0.015 2.546 1A
38.392 0.015 2.546 52
38.407 0.015 2.546 41
38.421 0.014 2.546 43
38.435 0.014 2.546 09
38.449 0.014 2.546 8B
38.463 0.014 2.546 42
38.477 0.014 2.546 01
38.491 0.014 2.546 D3
38.505 0.014 2.546 4B
38.519 0.014 2.546 01
38.533 0.014 2.546 C0
38.547 0.014 2.546 1A
38.561 0.014 2.546 52
38.575 0.014 2.546 41
38.589 0.014 2.546 03
38.603 0.014 2.546 09
38.618 0.014 2.546 8B
40.563 1.946 2.546 42
40.585 0.022 2.546 01
40.600 0.014 2.546 D3
40.615 0.015 2.546 0B
40.629 0.014 2.546 01
40.643 0.014 2.546 C0
40.657 0.014 2.546 1A
